epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4292.4,3.17627,4.67673,3.77692,0.00143,0.24146,0.00468,0.00131,3.40607,3.88931,3.69419,0.0683786,0.00166428,0.00166428
2,6895.83,2.41894,4.01392,2.98061,0.23045,0.06924,0.0285,0.00959,2.54358,3.60654,3.10198,0.036657,0.00327599,0.00327599
3,10023.6,1.92618,3.48314,2.44144,0.14296,0.13374,0.06661,0.02984,1.94774,3.07313,2.54637,0.00488038,0.00483269,0.00483269
4,13083.6,1.68392,3.1479,2.17917,0.17525,0.21114,0.11741,0.061,1.72216,2.68887,2.28006,0.0047525,0.0047525,0.0047525
5,15793.1,1.54676,2.90332,2.04278,0.16283,0.2601,0.15393,0.08722,1.60573,2.48419,2.1158,0.00467,0.00467,0.00467
6,19954.1,1.46417,2.69036,1.94351,0.23027,0.3256,0.24353,0.14433,1.44503,2.21176,1.94491,0.0045875,0.0045875,0.0045875
7,22903.7,1.40176,2.53431,1.87756,0.3253,0.3916,0.2931,0.17677,1.37126,2.13629,1.88695,0.004505,0.004505,0.004505
8,26285.8,1.35191,2.39413,1.82587,0.37069,0.3848,0.34828,0.22331,1.28891,1.93602,1.81096,0.0044225,0.0044225,0.0044225
9,29455.5,1.31277,2.28576,1.78462,0.4392,0.42635,0.41911,0.25763,1.26999,1.76718,1.78349,0.00434,0.00434,0.00434
10,33609.4,1.27946,2.20905,1.74487,0.47324,0.47193,0.43703,0.28892,1.14552,1.73807,1.64775,0.0042575,0.0042575,0.0042575
11,37071.3,1.25476,2.12598,1.72095,0.41754,0.50645,0.47319,0.31157,1.13237,1.61126,1.64411,0.004175,0.004175,0.004175
12,40567.4,1.23108,2.05036,1.69356,0.54593,0.46307,0.52632,0.35647,1.07125,1.53487,1.58992,0.0040925,0.0040925,0.0040925
13,43635.4,1.21685,1.97978,1.67094,0.53865,0.56009,0.56929,0.40203,1.00114,1.44989,1.51691,0.00401,0.00401,0.00401
14,47498.5,1.19101,1.92084,1.64838,0.56865,0.52966,0.58769,0.41274,1.02215,1.37774,1.5221,0.0039275,0.0039275,0.0039275
15,50826.1,1.17571,1.86188,1.63445,0.61333,0.58491,0.60849,0.43316,0.99982,1.31181,1.50179,0.003845,0.003845,0.003845
16,54117.1,1.15817,1.79802,1.61246,0.67966,0.58633,0.6434,0.45804,0.97457,1.25315,1.46181,0.0037625,0.0037625,0.0037625
17,57281.1,1.13865,1.75482,1.59688,0.66557,0.60124,0.63689,0.45008,0.97402,1.23824,1.47208,0.00368,0.00368,0.00368
18,61260.6,1.12354,1.69951,1.57728,0.67848,0.66835,0.6923,0.50194,0.9328,1.13405,1.43967,0.0035975,0.0035975,0.0035975
19,64223.1,1.11468,1.65566,1.57021,0.6956,0.69054,0.70474,0.5119,0.92264,1.09757,1.4253,0.003515,0.003515,0.003515
20,67113.5,1.10169,1.62709,1.5565,0.70852,0.69782,0.72897,0.54028,0.8814,1.03257,1.39032,0.0034325,0.0034325,0.0034325
21,70200.5,1.08326,1.58262,1.5392,0.74974,0.67457,0.73884,0.54296,0.86894,1.01202,1.37674,0.00335,0.00335,0.00335
